ts,phase,stage,uncertainty_index,request,vehicle,table_number,table_id,dynamic_t_begin,duration_type,gt_mean,phase_label,oracle_ctx_mode,delay_tolerance,severity,passed_terminals,current_time,action,reward,action_meaning,feasible,source,p_action1,algo,regime_id,context_id,drift_score,belief_smooth_penalty,value_residual,delta_t,policy_kl,action_prob,entropy,bootstrap,trust_region_scaled,trust_region_scale,gate_prob_0_mean,gate_prob_1_mean,gate_entropy_mean,expert0_action1_prob_mean,expert1_action1_prob_mean,expert_selected_ratio,moe_div_mean,pdi_future_mean,pdi_pref_mean,pdi_hard_mean,pdi_fail0_mean,pdi_fail1_mean,stage_family,matched,run_label,run_dir,distribution,seed,algorithm,algo_version,reward_pos,action1,action0,semantic_action,wait_like,engage_like,ts_decision,ts_reward,run_id,decision_seq,decision_id,stage_mode,pair_index,impl_stream,impl_list_idx,h_index,severity_bucket
1771782922.5186424,implement,receive_reward,0,3000000000002,110,955,955,3,mix_mu_5_40_terminal_dependent,90,B,none,64.1,6.0,"""[4.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",3,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782922.7850149,implement,receive_reward,0,3000000000011,111,955,955,3,mix_mu_5_40_terminal_dependent,90,B,none,90.5,6.0,"""[4.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",3,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782922.8346157,implement,receive_reward,0,3000000000029,111,955,955,3,mix_mu_5_40_terminal_dependent,90,B,none,155.5,6.0,"""[4.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",3,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782922.8366144,implement,receive_reward,0,3000000000020,111,955,955,3,mix_mu_5_40_terminal_dependent,90,B,none,50.5,6.0,"""[4.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",3,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782923.0335631,implement,receive_reward,0,3000000000013,111,955,955,3,mix_mu_5_40_terminal_dependent,90,B,none,54.5,6.0,"""[4.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",3,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782962.7907133,implement,receive_reward,0,3000000000018,71,954,954,2,mix_mu_5_40_terminal_dependent,90,B,none,123.0,6.0,"""[9.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",2,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782962.8027897,implement,receive_reward,0,3000000000024,79,954,954,2,mix_mu_5_40_terminal_dependent,90,B,none,154.0,6.0,"""[9, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",2,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782962.8313532,implement,receive_reward,0,3000000000012,90,953,953,2,mix_mu_5_40_terminal_dependent,90,B,none,77.0,6.0,"""[9, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",2,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771783046.1469948,implement,receive_reward,1,3000000000005,26,952,952,95,mix_mu_5_40_terminal_dependent,90,B,none,23.5,6.0,"""[5, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",95,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771783046.3969212,implement,receive_reward,1,3000000000004,26,952,952,95,mix_mu_5_40_terminal_dependent,90,B,none,29.0,6.0,"""[5, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",95,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
