w_q,w_h,w_c,w_e,w_i,spearman_avg_reward,spearman_q_hard,spearman_r_hard,plr_score_mean,ppo_score_mean,ppo_new_score_mean,plr_beats_ppo,plr_beats_ppo_new,priority_score
0.32,0.22,0.14,0.05,0.0,0.632455532033676,1.0,0.9486832980505139,0.19566666666666668,0.15813960113960113,0.17190460157126827,1,1,5.316227766016838
0.32,0.22,0.14,0.05,0.03,0.632455532033676,1.0,0.9486832980505139,0.22566666666666668,0.15813960113960113,0.18190460157126828,1,1,5.316227766016838
0.32,0.22,0.14,0.05,0.05,0.632455532033676,1.0,0.9486832980505139,0.2456666666666667,0.15813960113960113,0.18857126823793494,1,1,5.316227766016838
0.32,0.22,0.14,0.05,0.08,0.632455532033676,1.0,0.9486832980505139,0.27566666666666667,0.15813960113960113,0.19857126823793494,1,1,5.316227766016838
0.36,0.18,0.14,0.05,0.0,0.632455532033676,1.0,0.9486832980505139,0.21196296296296294,0.1744358974358974,0.18824579124579124,1,1,5.316227766016838
0.36,0.18,0.14,0.05,0.03,0.632455532033676,1.0,0.9486832980505139,0.24196296296296294,0.1744358974358974,0.19824579124579125,1,1,5.316227766016838
0.36,0.18,0.14,0.05,0.05,0.632455532033676,1.0,0.9486832980505139,0.26196296296296295,0.1744358974358974,0.20491245791245793,1,1,5.316227766016838
0.36,0.18,0.14,0.05,0.08,0.632455532033676,1.0,0.9486832980505139,0.2919629629629629,0.1744358974358974,0.21491245791245794,1,1,5.316227766016838
0.36,0.22,0.14,0.05,0.0,0.632455532033676,1.0,0.9486832980505139,0.21433333333333332,0.1744358974358974,0.1892379349046016,1,1,5.316227766016838
0.36,0.22,0.14,0.05,0.03,0.632455532033676,1.0,0.9486832980505139,0.24433333333333332,0.1744358974358974,0.1992379349046016,1,1,5.316227766016838
0.36,0.22,0.14,0.05,0.05,0.632455532033676,1.0,0.9486832980505139,0.2643333333333333,0.1744358974358974,0.20590460157126825,1,1,5.316227766016838
0.36,0.22,0.14,0.05,0.08,0.632455532033676,1.0,0.9486832980505139,0.29433333333333334,0.1744358974358974,0.21590460157126826,1,1,5.316227766016838
